,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact,Available Bikes,Empty Slots,Number of Bikes
33,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Indian,Bengal Tiger Indian Food,4.5,2311,58 W 56th St,(212) 265-2703,2,76,78
34,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Per Se,4.5,1871,10 Columbus Cir,(212) 823-9335,2,76,78
35,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Greek,Souvlaki GR Midtown ,4.0,794,162 W 56th St,(212) 974-7482,2,76,78
36,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Dutch Freds,4.5,2010,307 W 47th St,(646) 918-6923,2,76,78
37,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Jean-Georges,4.0,2002,1 Central Park W,(212) 299-3900,2,76,78
38,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Le Bernardin,4.5,2914,155 W 51st St,(212) 554-1515,2,76,78
39,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Steakhouses,Quality Meats,4.0,2280,57 W 58th St,(212) 371-7777,2,76,78
40,Bedford Ave & Bergen St,40.676368,-73.952918,Gastropubs,Sweet Brooklyn Bar And Grill,4.0,506,608 Nostrand Ave,(347) 425-0111,2,15,17
41,Bedford Ave & Bergen St,40.676368,-73.952918,Seafood,The Crabby Shack,4.0,787,613 Franklin Ave,(718) 484-1507,2,15,17
42,Bedford Ave & Bergen St,40.676368,-73.952918,Caribbean,Savvy Bistro & Bar,4.0,266,710 Nostrand Ave,(347) 533-7880,2,15,17
43,Bedford Ave & Bergen St,40.676368,-73.952918,American (New),Mayfield,4.0,610,688 Franklin Ave,(347) 318-3643,2,15,17
44,Bedford Ave & Bergen St,40.676368,-73.952918,French,Cafe Rue Dix,4.0,438,1451 Bedford Ave,(929) 234-2543,2,15,17
45,Bedford Ave & Bergen St,40.676368,-73.952918,Tapas Bars,La Ñapa,4.5,113,656 Nostrand Ave,(347) 435-0920,2,15,17
46,Bedford Ave & Bergen St,40.676368,-73.952918,Asian Fusion,La'Mode BK,4.5,21,1401 Bedford Ave,(718) 316-9100,2,15,17
47,Bedford Ave & Bergen St,40.676368,-73.952918,Japanese,Uotora,4.5,122,1075 Bergen St,(718) 513-0724,2,15,17
48,Bedford Ave & Bergen St,40.676368,-73.952918,Ethiopian,Ras Plant Based,5.0,348,739 Franklin Ave,(718) 701-8801,2,15,17
49,Bedford Ave & Bergen St,40.676368,-73.952918,Pizza,Barboncino Pizza & Bar,4.5,1136,781 Franklin Ave,(718) 483-8834,2,15,17
50,Bedford Ave & Bergen St,40.676368,-73.952918,French,Oxalis,4.5,246,791 Washington Ave,(347) 627-8298,2,15,17
51,Bedford Ave & Bergen St,40.676368,-73.952918,Mexican,Chavela's,4.0,1281,736 Franklin Ave,(718) 622-3100,2,15,17
52,Bedford Ave & Bergen St,40.676368,-73.952918,Caribbean,Suite 704  Restaurant,3.5,177,704 Nostrand Ave,(718) 975-7001,2,15,17
53,Bedford Ave & Bergen St,40.676368,-73.952918,Cocktail Bars,Altar,4.5,65,645 Sterling Pl,(718) 975-7001,2,15,17
54,Bedford Ave & Bergen St,40.676368,-73.952918,Cocktail Bars,Super Power,4.5,175,722 Nostrand Ave,(718) 484-0020,2,15,17
55,Bedford Ave & Bergen St,40.676368,-73.952918,Breakfast & Brunch,Seven Restaurant,4.5,117,470 Nostrand Ave,(718) 230-7777,2,15,17
56,Bedford Ave & Bergen St,40.676368,-73.952918,Themed Cafes,Cafe Con Libros,5.0,34,724 Prospect Pl,(347) 460-2838,2,15,17
57,Bedford Ave & Bergen St,40.676368,-73.952918,American (New),Arden,5.0,63,788 Franklin Ave,(718) 484-3266,2,15,17
58,Bedford Ave & Bergen St,40.676368,-73.952918,Cajun/Creole,Nostrand Social,4.0,48,706 Nostrand Ave,(718) 576-6781,2,15,17
59,Bedford Ave & Bergen St,40.676368,-73.952918,Mexican,Gueros,4.0,641,605 Prospect Pl,(718) 230-4941,2,15,17
60,28 St & 41 Ave,40.751047,-73.93797,American (New),Carla,4.5,164,25-03 40th Avenue,(929) 204-6264,12,12,24
61,28 St & 41 Ave,40.751047,-73.93797,Wine Bars,Murray's Cheese Bar,4.0,870,28-30 Jackson Ave,(347) 990-2130,12,12,24
62,28 St & 41 Ave,40.751047,-73.93797,Szechuan,Da Long Yi Hot Pot,5.0,153,42-22 Crescent St,(347) 813-4569,12,12,24
63,28 St & 41 Ave,40.751047,-73.93797,Ramen,Kyuramen - Long Island City,4.0,190,27-17 42nd Rd,(718) 786-6918,12,12,24
64,28 St & 41 Ave,40.751047,-73.93797,Chicken Wings,THE HUNTRESS whiskey n' wings,4.0,237,24-03 41st Ave,(718) 685-2922,12,12,24
65,28 St & 41 Ave,40.751047,-73.93797,Thai,House of Thai,4.0,355,2501 40th Ave,(929) 522-0247,12,12,24
66,28 St & 41 Ave,40.751047,-73.93797,Barbeque,John Brown BBQ,4.0,157,27-20 40th Ave,(347) 617-1120,12,12,24
67,28 St & 41 Ave,40.751047,-73.93797,Sushi Bars,Ooi Sushi and Bar,4.5,311,42-36 Crescent St,(718) 433-1888,12,12,24
68,28 St & 41 Ave,40.751047,-73.93797,American (New),The Beast Next Door,4.0,263,42-51 27th St,(718) 255-1612,12,12,24
69,28 St & 41 Ave,40.751047,-73.93797,Coffee & Tea,Knock Knock,4.5,54,42-44 Crescent St,(929) 600-5568,12,12,24
70,28 St & 41 Ave,40.751047,-73.93797,Delis,LIC Bagel & Deli,4.0,53,41-04 27th St,(718) 707-3333,12,12,24
71,28 St & 41 Ave,40.751047,-73.93797,Afghan,Sami's Kabab House,4.5,541,35-57 Crescent St,(917) 832-7165,12,12,24
72,28 St & 41 Ave,40.751047,-73.93797,Indian,Raj's Indian Kitchen,4.0,347,42-12 28th St,(718) 361-8844,12,12,24
73,28 St & 41 Ave,40.751047,-73.93797,Italian,Il Falco,4.5,343,21-50 44th Dr,(718) 707-0009,12,12,24
74,28 St & 41 Ave,40.751047,-73.93797,Latin American,Rincón Melania,4.5,140,35-19 Queens Blvd,(718) 361-1905,12,12,24
75,28 St & 41 Ave,40.751047,-73.93797,Japanese,Sapps,4.0,289,27-26 Jackson Ave,(718) 784-5555,12,12,24
76,28 St & 41 Ave,40.751047,-73.93797,Dim Sum,Tranquili Tea,5.0,18,4126 27th St,(718) 233-8452,12,12,24
77,28 St & 41 Ave,40.751047,-73.93797,Pizza,Beebe's,4.0,173,38-28 27th St,(718) 208-2895,12,12,24
78,28 St & 41 Ave,40.751047,-73.93797,Bakeries,Chip City - LIC,4.5,204,42-15 Crescent St,(347) 808-7700,12,12,24
79,28 St & 41 Ave,40.751047,-73.93797,Ramen,Instant Noodle Factory,4.5,16,24-11 41st Ave,(914) 510-2407,12,12,24
80,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Southern,Melba's Restaurant,4.0,1746,300 W 114th St,(212) 864-7777,14,14,28
81,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,American (Traditional),BLVD Bistro,4.0,1396,2149 Frederick Douglass Blvd,(212) 678-6200,14,14,28
82,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Seafood,LoLo's Seafood Shack,4.0,826,303 W 116th St,(646) 649-3356,14,14,28
83,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Bars,The Calaveras,4.5,231,949 Columbus Ave,(646) 484-6533,14,14,28
84,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Lounges,67 Orange Street,4.0,436,2082 Frederick Douglas Blvd,(212) 662-2030,14,14,28
85,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Breakfast & Brunch,Harlem Biscuit Company,4.5,206,2099 Frederick Douglas Blvd,(929) 390-1472,14,14,28
86,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,American (New),Row House,3.5,454,2128 Frederick Douglass Blvd,(212) 256-0019,14,14,28
87,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Pubs,Harlem Tavern,3.5,1410,2153 Frederick Douglass Blvd,(212) 866-4500,14,14,28
88,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Vietnamese,Saiguette,4.5,729,935 Columbus Ave,(212) 866-6888,14,14,28
89,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Italian,Osteria Laura,4.5,51,1890 Adam Clayton Powell Jr Blvd,(917) 261-6575,14,14,28
90,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,American (New),Archer & Goat,4.5,185,187 Lenox Ave,(917) 261-6602,14,14,28
91,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Ethiopian,Lalibela Ethiopian Restaurant,4.0,38,2084 Frederick Douglass Blvd,(917) 881-9775,14,14,28
92,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Wine Bars,Ortomare Ristorante Pizzeria,4.5,141,994 Columbus Ave,(212) 665-2970,14,14,28
93,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Italian,Lido,4.0,1196,2168 Frederick Douglass Blvd,(646) 490-8575,14,14,28
94,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Food Delivery Services,VeganHood,4.5,94,2100 Frederick Douglass Blvd,(917) 265-8172,14,14,28
95,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Seafood,B2runch Harlem,4.0,337,271 W 119th St,(212) 280-2248,14,14,28
96,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Sardinian,Arco Cafe,4.5,352,886 Amsterdam Ave,(646) 781-9080,14,14,28
97,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,American (New),Fieldtrip Harlem,4.5,223,109 Malcolm X Blvd,(917) 639-3919,14,14,28
98,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Cafes,Cafe Amrita,3.5,306,301 W 110th St,(212) 222-0683,14,14,28
99,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Italian,Vinatería,4.0,624,2211 Frederick Douglass Blvd,(212) 662-8462,14,14,28
100,3 Ave & E 112 St,40.795508,-73.941606,Steakhouses,Ricardo Steak House,4.0,1472,2145 2nd Ave,(212) 289-5895,16,5,21
101,3 Ave & E 112 St,40.795508,-73.941606,Cuban,Amor Cubano,4.0,578,2018 3rd Ave,(212) 996-1220,16,5,21
102,3 Ave & E 112 St,40.795508,-73.941606,Latin American,Cascalote Latin Bistro,4.5,397,2126 2nd Ave,(646) 351-6574,16,5,21
103,3 Ave & E 112 St,40.795508,-73.941606,Tapas/Small Plates,GAUDIr,4.5,70,251 E 110th St,(212) 744-4422,16,5,21
104,3 Ave & E 112 St,40.795508,-73.941606,Dominican,Santiago's Beer Garden,4.5,885,2337 1st Ave,(212) 920-6165,16,5,21
105,3 Ave & E 112 St,40.795508,-73.941606,Tapas Bars,El Kallejon,4.5,342,209 E 117th St,(646) 649-4795,16,5,21
106,3 Ave & E 112 St,40.795508,-73.941606,Food Trucks,Sidewalk Tacos,4.5,142,2163 2nd Ave,(646) 454-9255,16,5,21
107,3 Ave & E 112 St,40.795508,-73.941606,Coffee Roasteries,Dell’ Aria,4.5,48,232 E 111th St,(212) 534-8400,16,5,21
108,3 Ave & E 112 St,40.795508,-73.941606,Peruvian,Contento,4.5,103,88 E 111th St,(646) 410-0111,16,5,21
109,3 Ave & E 112 St,40.795508,-73.941606,Coffee & Tea,Pabade Cafe and Bakery,5.0,75,135 East 110 St,(646) 490-7863,16,5,21
110,3 Ave & E 112 St,40.795508,-73.941606,Italian,Nocciola Ristorante,4.0,264,237 E 116th St,(646) 559-5304,16,5,21
111,3 Ave & E 112 St,40.795508,-73.941606,Beer Bar,East Harlem Bottling,4.0,238,1711 Lexington Ave,(646) 922-7705,16,5,21
112,3 Ave & E 112 St,40.795508,-73.941606,Mexican,La Chula,4.0,246,137 E 116th St,(646) 590-3975,16,5,21
113,3 Ave & E 112 St,40.795508,-73.941606,American (New),Archer & Goat,4.5,185,187 Lenox Ave,(917) 261-6602,16,5,21
114,3 Ave & E 112 St,40.795508,-73.941606,Soul Food,SpaHa Soul and Bone Broth,4.5,134,2294 Second Ave,(347) 463-7387,16,5,21
115,3 Ave & E 112 St,40.795508,-73.941606,Mexican,Las Delicias Mexicanas,4.0,90,2109 3rd Ave,(212) 828-3659,16,5,21
116,3 Ave & E 112 St,40.795508,-73.941606,Breakfast & Brunch,Amuse Bouche Bistro,5.0,40,1590 Park Ave,(917) 710-3111,16,5,21
117,3 Ave & E 112 St,40.795508,-73.941606,Latin American,La Avenida,4.5,109,2247 1st Ave,(212) 828-2247,16,5,21
118,3 Ave & E 112 St,40.795508,-73.941606,Bakeries,Tres Leches Cafe - Harlem,5.0,183,356 E 112th St,(347) 994-8046,16,5,21
119,3 Ave & E 112 St,40.795508,-73.941606,African,Teranga Harlem,4.5,139,1280 5th Ave,(646) 663-1935,16,5,21
120,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Pizza,NY Pizza Suprema,4.5,2515,413 8th Ave,(212) 594-8939,89,7,96
121,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Ramen,Kame,4.5,764,330 8th Ave,(917) 391-8587,89,7,96
122,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Italian,Ci Siamo,4.5,338,440 West 33rd St,(212) 219-6559,89,7,96
123,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Sushi Bars,Zen Ramen & Sushi,4.5,2658,150 W 36th street,(646) 870-7509,89,7,96
124,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Ramen,Tonchin,4.5,1942,13 W 36th St,(646) 692-9912,89,7,96
125,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Cocktail Bars,Juniper Bar,4.0,662,237 W 35th St,(212) 967-2511,89,7,96
126,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Vegan,Beyond Sushi,4.5,712,134 West 37th St,(212) 564-0869,89,7,96
127,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Cuban,Calle Dao Chelsea,4.5,1037,461 W 23rd St,(212) 414-4104,89,7,96
128,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Korean,Anytime Kitchen ,4.5,2700,23 W 32nd St,(646) 669-7733,89,7,96
129,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Gastropubs,Haymaker Bar and Kitchen,4.0,395,252 W 29th St,(646) 429-8237,89,7,96
130,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,French,OCabanon,4.0,455,245 W 29th St,(646) 669-7879,89,7,96
131,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,American (New),Eleven Madison Park,4.5,2433,11 Madison Ave,(212) 889-0905,89,7,96
132,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Bars,The Ragtrader & Bo Peep Cocktail and Highball Store,4.5,801,70 W 36th St,(917) 261-5495,89,7,96
133,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Bagels,Best Bagel & Coffee,4.5,4562,225 W 35th St,(212) 564-4409,89,7,96
134,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Bars,Pennsylvania 6 NYC,4.0,618,132 W 31st St,(212) 727-3666,89,7,96
135,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Tapas Bars,Izakaya MEW,4.5,2844,53 W 35th St,(646) 368-9384,89,7,96
136,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Breakfast & Brunch,Liberty Bagels Midtown,4.5,1400,260 W 35th St,(212) 279-1124,89,7,96
137,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Pubs,Maggie Reillys Restaurant,4.0,109,340 9th Ave,(646) 476-3209,89,7,96
138,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Vegetarian,PLANTA Queen Nomad,4.5,649,15 W 27th St,(917) 675-7700,89,7,96
139,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Mediterranean,Zou Zou’s,4.0,276,385 9th Ave,(212) 380-8585,89,7,96
140,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,American (New),Olmsted,4.0,486,659 Vanderbilt Ave,(718) 552-2610,3,23,26
141,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Thai,Nourish,4.0,378,637A Vanderbilt Ave,(718) 789-3981,3,23,26
142,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Mexican,Alta Calidad,4.0,267,552 Vanderbilt Ave,(718) 622-1111,3,23,26
143,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Italian,Faun,4.0,221,606 Vanderbilt Ave,(718) 576-6120,3,23,26
144,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Izakaya,Ozakaya,4.5,136,635 Vanderbilt Ave,(929) 456-5956,3,23,26
145,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Thai,The Nuaa Table,4.5,84,638 Bergen St,(718) 623-6395,3,23,26
146,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Asian Fusion,Chuko,4.0,1104,565 Vanderbilt Ave,(347) 425-9570,3,23,26
147,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,American (Traditional),Emily,4.0,924,919 Fulton St,(347) 844-9588,3,23,26
148,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,American (New),Patti Ann's,4.0,75,570 Vanderbilt Ave,(347) 844-9588,3,23,26
149,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Wine Bars,LaLou,4.0,94,581 Vanderbilt Ave,(718) 857-9463,3,23,26
150,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Sushi Bars,Sushi Lin Brooklyn,4.5,342,335 Flatbush Ave,(347) 627-6027,3,23,26
151,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Persian/Iranian,Sofreh,4.0,421,75 St Marks Ave,(646) 798-1690,3,23,26
152,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Mexican,Cruz Del Sur,4.5,82,622 Washington Ave,(347) 365-1618,3,23,26
153,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Wine Bars,Leland Eating and Drinking House ,4.5,76,755 Dean St,(646) 470-7008,3,23,26
154,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Italian,Amorina Cucina Rustica,4.0,242,624 Vanderbilt Ave,(718) 230-3030,3,23,26
155,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Breakfast & Brunch,Sweet Chick,4.0,864,341 Flatbush Ave,(718) 484-7724,3,23,26
156,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Cafes,"Ciao, Gloria",4.5,111,550 Vanderbilt Ave,(716) 666-2426,3,23,26
157,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Ice Cream & Frozen Yogurt,Ample Hills Creamery,4.5,1630,623 Vanderbilt Ave,(347) 240-3926,3,23,26
158,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,French,Oxalis,4.5,246,791 Washington Ave,(347) 627-8298,3,23,26
159,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Halal,Omar's Fine Cuisine,4.5,59,568 Vanderbilt Ave,(718) 618-0923,3,23,26
160,Monroe St & Bedford Ave,40.6851443,-73.95380904,Senegalese,Joloff,4.0,217,1168 Bedford Ave,(718) 230-0523,6,12,18
161,Monroe St & Bedford Ave,40.6851443,-73.95380904,Tacos,Breuklyn Tequila & Taco Bar,3.5,145,1177 Bedford Ave,(718) 737-3832,6,12,18
162,Monroe St & Bedford Ave,40.6851443,-73.95380904,Breakfast & Brunch,Seven Restaurant,4.5,117,470 Nostrand Ave,(718) 230-7777,6,12,18
163,Monroe St & Bedford Ave,40.6851443,-73.95380904,Vietnamese,Lucy's Vietnamese - Bedford Stuyvesant,4.0,40,1111 Bedford Ave,(718) 885-4446,6,12,18
164,Monroe St & Bedford Ave,40.6851443,-73.95380904,Seafood,King Of The Sea,3.5,164,1102 Bedford Ave,(718) 783-8000,6,12,18
165,Monroe St & Bedford Ave,40.6851443,-73.95380904,American (New),Baron's,4.0,345,564 Dekalb Ave,(718) 230-7100,6,12,18
166,Monroe St & Bedford Ave,40.6851443,-73.95380904,Indian,Bombay Grill,4.5,289,1176 Bedford Ave,(718) 484-0004,6,12,18
167,Monroe St & Bedford Ave,40.6851443,-73.95380904,American (New),Hart's Restaurant,4.5,118,506 Franklin Ave,(718) 636-6228,6,12,18
168,Monroe St & Bedford Ave,40.6851443,-73.95380904,American (Traditional),Rustik Tavern,4.0,589,471 Dekalb Ave,(347) 406-9700,6,12,18
169,Monroe St & Bedford Ave,40.6851443,-73.95380904,New Mexican Cuisine,Ursula,4.0,122,387 Nostrand Ave,(347) 365-4905,6,12,18
170,Monroe St & Bedford Ave,40.6851443,-73.95380904,Seafood,Peaches Grand,4.0,394,285 Grand Ave,(718) 638-9500,6,12,18
171,Monroe St & Bedford Ave,40.6851443,-73.95380904,Mexican,Martha's Cocina Mexicana,4.5,33,338 Franklin Ave,(347) 240-5049,6,12,18
172,Monroe St & Bedford Ave,40.6851443,-73.95380904,Coffee & Tea,Brooklyn Kolache,4.5,371,520 Dekalb Ave,(718) 398-1111,6,12,18
173,Monroe St & Bedford Ave,40.6851443,-73.95380904,Pizza,Speedy Romeo,4.0,681,376 Classon Ave,(646) 542-1848,6,12,18
174,Monroe St & Bedford Ave,40.6851443,-73.95380904,Gastropubs,Sweet Brooklyn Bar And Grill,4.0,506,608 Nostrand Ave,(347) 425-0111,6,12,18
175,Monroe St & Bedford Ave,40.6851443,-73.95380904,Southern,Peaches HotHouse,4.0,1454,415 Tompkins Ave,(718) 483-9111,6,12,18
176,Monroe St & Bedford Ave,40.6851443,-73.95380904,Coffee & Tea,Coffee Uplifts People,4.0,37,329 Gates Ave,(718) 483-9111,6,12,18
177,Monroe St & Bedford Ave,40.6851443,-73.95380904,Bars,Chilo's,4.0,241,323 Franklin Ave,(718) 676-5245,6,12,18
178,Monroe St & Bedford Ave,40.6851443,-73.95380904,Cajun/Creole,Soco,4.0,2359,509 Myrtle Ave,(718) 783-1936,6,12,18
179,Monroe St & Bedford Ave,40.6851443,-73.95380904,Italian,Macosa Trattoria,4.5,62,310 Tompkins Ave,(646) 574-7866,6,12,18
180,35 Ave & 37 St,40.7557327,-73.9236611,American (New),Vegoist,4.0,300,35-43 37th St,(718) 729-5665,16,11,27
181,35 Ave & 37 St,40.7557327,-73.9236611,Mexican,Tacuba,4.0,758,35-01 36th St,(718) 786-2727,16,11,27
182,35 Ave & 37 St,40.7557327,-73.9236611,Vietnamese,District Saigon,4.5,761,37-15 Broadway,(718) 956-0007,16,11,27
183,35 Ave & 37 St,40.7557327,-73.9236611,Mexican,Citrico Cafe,4.0,132,3290 36th St,(718) 255-1705,16,11,27
